2;1;30;512;652
2;1;30;514;1048
2;1;30;514;1048
2;1;30;514;1048
2;1;30;542;1085
2;1;30;544;1100
2;1;30;548;613
2;1;30;553;641
2;1;30;553;641
2;1;30;554;646
2;1;30;557;665
2;1;30;557;665
2;1;30;557;665
2;1;30;557;665
2;1;30;559;673
2;1;30;559;673
2;1;30;559;673
2;1;30;559;673
2;1;30;561;680
2;1;30;561;680
2;1;30;561;680
2;1;30;563;686
2;1;30;563;686
2;1;30;563;686
2;1;30;564;689
2;1;30;564;689
2;1;30;564;689
2;1;30;564;689
2;1;30;568;860
2;1;30;570;866
2;1;30;570;866
2;1;30;574;1044
2;1;30;574;1044
2;1;56;481;1068
2;1;56;481;1068
2;1;56;487;599
2;1;56;487;599
2;1;56;487;599
2;1;58;603;670
2;1;58;604;674
2;1;59;608;1050
2;1;60;646;1103
2;1;60;650;610
2;1;60;654;634
2;1;60;655;639
2;1;60;656;644
2;1;60;656;644
2;1;60;656;644
2;1;60;656;644
2;1;60;659;664
2;1;60;659;664
2;1;60;661;672
2;1;60;661;672
2;1;60;661;672
2;1;60;663;679
2;1;60;663;679
2;1;60;666;688
2;1;60;666;688
2;1;60;668;700
2;1;60;670;859
2;1;60;670;859
2;1;60;670;859
2;1;60;670;859
2;1;60;670;859
2;1;60;687;1067
2;1;60;688;1074
2;1;60;701;1092
2;1;60;701;1092
2;1;60;701;1092
2;1;60;701;1092
